"/imudata/orientation/x_x","/imudata/orientation/x_y"
0.2560961246,-0.3106917143,
0.3380961418,-0.2236649096,
0.4210960865,-0.1288404018,
0.5040962696,-0.2140845507,
0.5870962143,-0.5526452661,
0.6690962315,-0.1797036827,
0.7520961761,-0.1882278025,
0.8350961208,-0.4784570932,
0.917096138,-0.2490812689,
1.000096083,-0.2290491611,
1.0820961,-0.2163517773,
1.164096117,-0.1597596109,
1.2470963,-0.2644608319,
1.330096245,-0.9814986587,
1.412096262,-0.4280084372,
1.495096207,-0.2238605917,
1.578096151,-0.4871435165,
1.660096169,-0.5203518867,
1.746096134,5.892051697,
1.831779242,-0.7205405831,
1.913779259,-2.06035161,
1.995779276,2.463909388,
2.078779221,0.9361801744,
2.161779165,-0.5885854959,
2.243779182,-1.326150537,
2.326779127,0.6457144022,
2.407779217,1.616358876,
2.490779161,-0.1423985362,
2.573779106,-0.5261359215,
2.655779123,0.4458891451,
2.738779068,-0.04463287443,
2.821779251,-0.9298492074,
2.903779268,-1.093902707,
2.986779213,4.093988895,
3.06877923,5.423408508,
3.151779175,2.178246498,
3.233779192,1.651888132,
3.316779137,-0.8725937009,
3.399779081,-1.307560325,
3.481779099,-0.1374788135,
3.564779043,0.1374719143,
3.647779226,0.7846863866,
3.728779078,0.01956453919,
3.811779261,0.05692098662,
3.894779205,0.9331589341,
3.976779222,1.479810476,
4.059779167,1.388919592,
4.141779184,-0.2925963998,
4.224779129,-0.8891882896,
4.309779167,-0.7404272556,
4.394467115,-1.028304338,
4.477467299,-0.3563939333,
4.559467316,-0.07462097704,
4.64246726,-0.6615169644,
4.724467278,0.1279941201,
4.807467222,-0.4683561325,
4.890467167,-0.5352563858,
4.972467184,0.1064080745,
5.054467201,0.908385694,
5.137467146,-0.6892507076,
5.219467163,-0.03520855308,
5.302467108,0.3364986777,
5.385467291,-0.4494709671,
5.467467308,0.04540657997,
5.550467253,-0.7837725282,
5.633467197,-0.7735769749,
5.715467215,-0.6387805939,
5.798467159,-0.2796911895,
5.881467104,-0.1599489301,
5.963467121,-0.5951628685,
6.046467304,-0.5923079252,
6.129467249,-0.5866740346,
6.211467266,-0.2149707973,
6.294467211,-0.2200751603,
6.376467228,-0.3983911574,
6.458467245,-0.2164695859,
6.54146719,-4.53898716,
6.623467207,-2.012307405,
6.706467152,-0.2853376567,
6.789467096,0.3347454071,
6.874467134,1.230065346,
6.958831072,-0.8242301345,
7.041831255,0.5364612937,
7.123831272,0.2665927708,
7.206831217,-0.5696270466,
7.288831234,2.105863094,
7.371831179,0.8540474176,
7.454831123,0.1560121179,
7.537831068,-1.942956686,
7.619831085,-3.427955627,
7.701831102,-2.380295992,
7.78383112,-0.1743835062,
7.866831064,0.8319327235,
7.949831247,-1.745970964,
8.031831264,-2.064084053,
8.114831209,-0.7889024019,
8.196831226,-1.304973722,
8.279831171,-4.593530178,
8.362831116,-5.715342045,
8.444831133,-7.33613348,
8.527831078,-7.382937431,
8.610831261,-6.731338024,
8.692831039,-5.439900398,
8.775831223,-6.53203392,
8.85783124,-9.119714737,
8.938831091,-11.10708237,
9.021831274,-10.86903286,
9.104831219,-8.011932373,
9.187831163,43.53955841,
9.270831108,-0.6992125511,
9.353831053,-9.15365696,
9.438831091,-16.25186157,
9.524059057,-7.242959023,
9.606059074,-2.975212097,
9.688059092,-1.770102978,
9.771059036,5.578174114,
9.853059053,3.412643433,
9.936058998,-6.752325058,
10.01805902,-2.923485994,
10.10105896,-3.314169407,
10.18305898,-3.574136019,
10.26605892,0.5358559489,
10.34705901,1.521001935,
10.43005896,-1.137676835,
10.5130589,-1.580017805,
10.59505892,-0.1917386502,
10.67705894,0.7162032127,
10.76005888,-0.5417541862,
10.84305906,-1.17189014,
10.92505908,-0.1875431389,
11.00805902,0.1558112204,
11.09105897,-0.06823147088,
